primaryTitle,startYear,numVotes,averageRating
Fantomas,1964,13812,6.9
Father Goose,1964,13699,7.3
The Gendarme of Saint-Tropez,1964,15458,7.1
A Hard Day's Night,1964,50226,7.5
Mary Poppins,1964,199869,7.8
Marriage Italian Style,1964,12773,7.4
A Shot in the Dark,1964,34295,7.3
Topkapi,1964,11705,6.9
Alphaville,1965,30296,6.9
Chimes at Midnight,1965,11282,7.6
Cat Ballou,1965,17584,6.7
"Faster, Pussycat! Kill! Kill!",1965,17515,6.6
Juliet of the Spirits,1965,15837,7.4
The Great Race,1965,21717,7.2
Help!,1965,21376,7.1
Loves of a Blonde,1965,10324,7.4
Operation 'Y' & Other Shurik's Adventures,1965,16674,8.4
Simon of the Desert,1965,11941,7.8
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes,1965,9946,7.0
Alfie,1966,16941,7.0
Cul-de-sac,1966,15051,7.0
The Fortune Cookie,1966,17384,7.2
A Funny Thing Happened on the Way to the Forum,1966,10763,6.8
Don't Look Now... We're Being Shot At!,1966,22604,7.9
How to Steal a Million,1966,32495,7.5
"Kidnapping, Caucasian Style",1967,15225,8.2
Closely Watched Trains,1966,15160,7.6
The Russians Are Coming the Russians Are Coming,1966,11294,7.0
Daisies,1966,17898,7.2
Barefoot in the Park,1967,22991,7.0
Bedazzled,1967,10457,6.7
The Collector,1967,10985,7.3
The Fearless Vampire Killers,1967,36195,7.0
The Graduate,1967,303307,8.0
Guess Who's Coming to Dinner,1967,53044,7.8
The Firemen's Ball,1967,13434,7.3
The Jungle Book,1967,214875,7.6
Playtime,1967,29953,7.8
Two for the Road,1967,15785,7.3
Weekend,1967,16796,6.9
Asterix and Cleopatra,1968,16109,7.2
Stolen Kisses,1968,16701,7.5
The Diamond Arm,1969,18139,8.2
The Young Girls of Rochefort,1967,13928,7.7
Funny Girl,1968,27615,7.4
The Odd Couple,1968,40271,7.6
Padosan,1968,10305,8.1
The Party,1968,47394,7.4
The Producers,1967,64335,7.5
The Cremator,1969,13090,8.0
Yellow Submarine,1968,30067,7.4
"Yours, Mine and Ours",1968,11132,7.1
Cactus Flower,1969,13432,7.2
"Hello, Dolly!",1969,18703,7.1
The Italian Job,1969,54714,7.2
My Night at Maud's,1969,16205,7.8
Paint Your Wagon,1969,16295,6.6
The Prime of Miss Jean Brodie,1969,11293,7.6
Support Your Local Sheriff!,1969,14693,7.4
Take the Money and Run,1969,33074,7.2
The Aristocats,1970,126356,7.1
The Ballad of Cable Hogue,1970,11453,7.2
Catch-22,1970,27227,7.1
The Decameron,1971,13838,7.0
Bed & Board,1970,11680,7.4
Kelly's Heroes,1970,59027,7.6
Little Big Man,1970,40645,7.5
M*A*S*H,1970,83418,7.3
The Out of Towners,1970,10072,7.1
The Private Life of Sherlock Holmes,1970,15009,7.0
The Abominable Dr. Phibes,1971,18222,7.0
Monty Python's and Now for Something Completely Different,1971,32841,7.5
Bananas,1971,40215,6.9
Bedknobs and Broomsticks,1971,43656,7.1
Carnal Knowledge,1971,17192,6.9
Harold and Maude,1971,85433,7.8
They Call Me Trinity,1970,28655,7.4
Murmur of the Heart,1971,11728,7.5
Willy Wonka & the Chocolate Factory,1971,246101,7.8
Trinity Is Still My Name,1971,19468,7.2
Love in the Afternoon,1972,10521,7.6
Avanti!,1972,13302,7.1
The Discreet Charm of the Bourgeoisie,1972,50842,7.7
Gentlemen of Fortune,1971,14393,8.3
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,44174,6.7
The Tall Blond Man with One Black Shoe,1972,10287,7.2
The Life and Times of Judge Roy Bean,1972,10322,6.8
The Way of the Dragon,1972,44325,7.1
"Play It Again, Sam",1972,29777,7.6
Roma,1972,14972,7.3
Slaughterhouse-Five,1972,14926,6.8
"What's Up, Doc?",1972,29500,7.6
"Watch Out, We're Mad",1974,15668,7.3
American Graffiti,1973,106267,7.4
The Mad Adventures of Rabbi Jacob,1973,16456,7.4
The Big Feast,1973,16160,7.0
My Name Is Nobody,1973,31165,7.3
Ivan Vasilyevich Changes His Profession,1973,20604,8.2
The Last Detail,1973,31343,7.5
The Long Goodbye,1973,44666,7.5
Day for Night,1973,26577,8.0
Paper Moon,1973,58064,8.1
Robin Hood,1973,151399,7.5
Sleeper,1973,45584,7.1
The Sting,1973,304552,8.2
Theater of Blood,1973,13817,7.1
Amarcord,1973,51745,7.8
Blazing Saddles,1974,166131,7.7
The Phantom of Liberty,1974,18624,7.7
Arabian Nights,1974,10049,6.6
The Front Page,1974,16702,7.3
The Longest Yard,1974,23432,7.1
Monty Python and the Holy Grail,1975,606321,8.1
Phantom of the Paradise,1974,26432,7.3
The Return of the Pink Panther,1975,32661,7.0
Thunderbolt and Lightfoot,1974,33385,7.0
Going Places,1974,10835,7.1
Young Frankenstein,1974,181232,8.0
Chupke Chupke,1975,14068,8.3
The Twelve Tasks of Asterix,1976,21582,7.7
Female Trouble,1974,11866,7.1
The Pinchcliffe Grand Prix,1975,15473,8.5
Grey Gardens,1975,17034,7.5
Love and Death,1975,44108,7.6
Nashville,1975,31728,7.6
The Rocky Horror Picture Show,1975,185139,7.4
Sholay,1975,63699,8.1
The Wing or The Thigh?,1976,13849,7.2
The Bad News Bears,1976,27767,7.3
"Ugly, Dirty and Bad",1976,9877,7.7
Bugsy Malone,1976,21067,6.8
Crime Busters,1977,14337,7.1
Family Plot,1976,27040,6.8
Murder by Death,1976,45979,7.2
The Pink Panther Strikes Again,1976,34678,7.1
Silent Movie,1976,19815,6.7
Silver Streak,1976,23647,6.9
Stroszek,1977,16710,7.7
Annie Hall,1977,292359,7.9
That Obscure Object of Desire,1977,27135,7.8
The Goodbye Girl,1977,17798,7.4
High Anxiety,1977,25989,6.6
House,1977,40224,7.2
Who's Singin' Over There?,1980,18037,8.7
The Many Adventures of Winnie the Pooh,1977,43226,7.5
"Oh, God!",1977,11722,6.6
The Rescuers,1977,75903,6.9
Slap Shot,1977,45571,7.2
Office Romance,1977,11792,8.2
Smokey and the Bandit,1977,63468,7.0
La Cage aux Folles,1978,13264,7.2
Foul Play,1978,19678,6.8
Grease,1978,328717,7.2
Heaven Can Wait,1978,25874,6.9
National Lampoon's Animal House,1978,136519,7.4
Odds and Evens,1978,11265,7.1
Revenge of the Pink Panther,1978,25216,6.6
Snake in the Eagle's Shadow,1978,14249,7.3
Up in Smoke,1978,43822,6.9
Being There,1979,82374,7.9
Breaking Away,1979,27769,7.7
French Fried Vacation 2,1979,10279,7.4
Gol Maal,1979,22228,8.5
Hair,1979,44568,7.5
The In-Laws,1979,11176,7.3
I'm for the Hippopotamus,1979,10351,6.6
The Jerk,1979,69199,7.1
Monty Python's Life of Brian,1979,435266,8.0
Manhattan,1979,153311,7.8
Moscow Does Not Believe in Tears,1980,15932,8.0
The Muppet Movie,1979,42980,7.6
Rock 'n' Roll High School,1979,12330,6.6
Lupin III: The Castle of Cagliostro,1979,36166,7.6
Drunken Master,1978,48186,7.4
9 to 5,1980,43787,6.9
Airplane!,1980,291253,7.7
The Taming of the Scoundrel,1980,11643,7.6
The Blues Brothers,1980,231052,7.9
Caddyshack,1980,134088,7.2
The Gods Must Be Crazy,1980,63472,7.3
Hopscotch,1980,10151,7.1
My Bodyguard,1980,11786,7.1
The Ninth Configuration,1980,10213,6.7
Seems Like Old Times,1980,11998,6.7
Stardust Memories,1980,25347,7.2
Stir Crazy,1980,32849,6.7
The Stunt Man,1980,11768,6.9
The Charter Trip,1980,10016,7.2
Time Bandits,1981,74688,6.9
Used Cars,1980,18780,6.7
An American Werewolf in London,1981,135779,7.5
Arthur,1981,33914,6.9
The Party,1980,11992,6.7
La Chèvre,1981,12072,7.3
The Great Muppet Caper,1981,18510,7.1
Gregory's Girl,1980,10132,7.1
History of the World: Part I,1981,59445,6.8
My Dinner with Andre,1981,31037,7.6
Polyester,1981,10230,7.0
Stripes,1981,86624,6.8
48 Hrs.,1982,94088,6.9
Annie,1982,53923,6.6
Creepshow,1982,58115,6.8
Dead Men Don't Wear Plaid,1982,25971,6.8
Deathtrap,1982,18052,7.0
Diner,1982,23745,7.0
The Draughtsman's Contract,1982,12071,7.2
Eating Raoul,1982,10025,6.8
Fast Times at Ridgemont High,1982,125936,7.1
Honkytonk Man,1982,10330,6.6
The Marathon Family,1982,18261,8.8
A Midsummer Night's Sex Comedy,1982,22058,6.6
Monty Python Live at the Hollywood Bowl,1982,15139,7.8
My Favorite Year,1982,11345,7.3
Santa Claus Is a Stinker,1982,11606,7.4
Tootsie,1982,123507,7.4
Victor/Victoria,1982,25798,7.6
