primaryTitle,startYear,numVotes,averageRating
Cannibal! The Musical,1993,13910,6.9
Everyone Says I Love You,1996,41448,6.7
Indian,1996,16168,8.1
Kolya,1996,17058,7.7
Shall We Dance?,1996,12586,7.7
Shine,1996,59235,7.6
That Thing You Do!,1996,78926,7.0
Dil To Pagal Hai,1997,27199,7.0
Pardes,1997,17268,6.9
Selena,1997,34065,6.9
Yes Boss,1997,15239,6.7
The Last Days of Disco,1998,15287,6.7
The Legend of 1900,1998,74070,8.0
The Red Violin,1998,35869,7.6
Velvet Goldmine,1998,40634,6.9
The Wedding Singer,1998,174619,6.9
The Crazy Stranger,1997,8976,7.6
SLC Punk!,1998,36086,7.3
High Fidelity,2000,200459,7.4
Little Voice,1998,17869,7.0
Still Crazy,1998,9371,7.0
Hilary and Jackie,1998,11326,7.3
Straight from the Heart,1999,21154,7.4
Sweet and Lowdown,1999,37119,7.2
Trick,1999,10009,7.2
Detroit Rock City,1999,41873,6.8
Liberty Heights,1999,7350,7.0
Music of the Heart,1999,13956,6.7
Dancer in the Dark,2000,124797,7.9
Lagaan: Once Upon a Time in India,2001,130223,8.1
Kuch Kuch Hota Hai,1998,63240,7.5
Raju Ban Gaya Gentleman,1992,8920,6.7
Mr. Muhsin,1987,12945,8.4
Buena Vista Social Club,1999,21071,7.6
Human Traffic,1999,29718,7.1
Moulin Rouge!,2001,316141,7.5
Center Stage,2000,22856,6.7
Berlin Calling,2008,16121,7.2
Mohabbatein,2000,37710,7.1
Chithram,1988,6905,8.7
Bamboozled,2000,13147,6.7
Kaho Naa... Pyaar Hai,2000,18783,6.9
Devdas,2002,52631,7.6
Alai Payuthey,2000,9039,8.3
Kabhi Khushi Kabhie Gham...,2001,63585,7.5
Hedwig and the Angry Inch,2001,38146,7.7
Billy Elliot,2000,153252,7.7
The Pianist,2002,1020765,8.5
The Piano Teacher,2001,82300,7.5
Dudes,2001,8736,7.9
8 Women,2002,34978,7.0
The Phantom of the Opera,2004,139409,7.2
Rent,2005,58399,6.9
All About Lily Chou-Chou,2001,14430,7.5
8 Mile,2002,354138,7.2
Rehnaa Hai Terre Dil Mein,2001,10219,7.5
Chicago,2002,258000,7.2
A Mighty Wind,2003,32325,7.2
Kannathil Muthamittal,2002,10858,8.3
Life Is a Miracle,2004,13934,7.5
School of Rock,2003,360894,7.2
Tupac: Resurrection,2003,10044,7.9
Kal Ho Naa Ho,2003,82303,7.9
Ray,2004,166799,7.7
De-Lovely,2004,12401,6.6
Walk the Line,2005,281976,7.8
Beyond the Sea,2004,16108,6.7
Tenacious D in the Pick of Destiny,2006,120180,6.8
Swades,2004,106922,8.2
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,17916,7.8
I'm Not There,2007,63668,6.8
The Chorus,2004,72590,7.9
Ladies in Lavender,2004,13776,7.0
Don't Come Knocking,2005,8412,6.6
Coffee and Cigarettes,2003,71171,7.0
As It Is in Heaven,2004,19361,7.5
The Music Man,2007,10012,7.5
Terkel in Trouble,2004,13334,7.1
Metallica: Some Kind of Monster,2004,21158,7.5
Dig!,2004,7071,7.7
Sweeney Todd: The Demon Barber of Fleet Street,2007,408425,7.3
Hustle & Flow,2005,45772,7.3
Where's Firuze?,2004,13620,7.4
The Beat That My Heart Skipped,2005,21708,7.2
Mrs. Henderson Presents,2005,17146,7.0
A Prairie Home Companion,2006,24636,6.7
Veer Zaara,2004,67129,7.8
Control,2007,72028,7.6
Joyeux Noel,2005,34446,7.6
Copying Beethoven,2006,14492,6.7
Dave Chappelle's Block Party,2005,9864,7.2
August Rush,2007,115117,7.4
Hairspray,2007,146460,6.7
Kinky Boots,2005,22952,7.1
The Devil and Daniel Johnston,2005,11018,7.9
Parineeta,2005,10128,7.2
Two Sons of Francisco,2005,7176,6.9
Dreamgirls,2006,81253,6.6
"You, the Living",2007,17067,7.4
Take the Lead,2006,27605,6.6
La Vie En Rose,2007,94476,7.5
No Entry,2005,14191,6.6
Crossing the Bridge: The Sound of Istanbul,2005,7838,7.8
Four Minutes,2006,7708,7.3
Black Snake Moan,2006,69198,6.9
Metal: A Headbanger's Journey,2005,12929,8.0
Gonzo,2008,8816,7.6
The Page Turner,2006,7543,7.0
Vivah,2006,12275,6.7
Sugar Pie Lady,1983,7324,7.9
Memories of Matsuko,2006,9681,7.8
Samsara,2011,40151,8.4
Life in a Metro,2007,15278,7.4
The Soloist,2009,56910,6.7
Walk Hard: The Dewey Cox Story,2007,82330,6.9
Shine a Light,2008,12737,7.1
The International,2006,8844,7.2
Love & Mercy,2014,45925,7.4
Once,2006,126225,7.8
200 Pounds Beauty,2006,9459,6.7
Nick and Norah's Infinite Playlist,2008,97605,6.6
Love Songs,2007,10596,7.0
Homecoming: A Film by Beyoncé,2019,8465,7.6
Until the Light Takes Us,2008,7160,7.0
The Band's Visit,2007,14701,7.5
CODA,2021,231296,8.0
Secret,2007,9952,7.5
Cadillac Records,2008,24657,7.0
Unfinished Song,2012,8233,6.9
Ma Rainey's Black Bottom,2020,78562,6.9
Entergalactic,2022,21257,7.4
Mao's Last Dancer,2009,8572,7.3
Sigur Rós: Heima,2007,8386,8.4
George Harrison: Living in the Material World,2011,13546,8.1
Pirate Radio,2009,121023,7.3
Hridayam,2022,21355,8.0
Miss Americana,2020,26747,7.4
A Complete Unknown,2024,121236,7.3
Beastie Boys Story,2020,8955,7.7
Thiruchitrambalam,2022,19130,7.9
Vaaranam Aayiram,2008,15978,8.2
Rab Ne Bana Di Jodi,2008,60098,7.2
Marley,2012,15017,7.9
Vengeance,2022,42040,6.8
The Color Purple,2023,20716,6.8
The Milk of Sorrow,2009,7706,6.7
Metal Lords,2022,37305,6.7
Whitney Houston: I Wanna Dance with Somebody,2022,27320,6.6
A Late Quartet,2012,15994,7.1
It Might Get Loud,2008,14021,7.6
Rock On!!,2008,23561,7.7
Lemmy,2010,8939,7.8
Bergen,2022,7337,6.9
Wicked,2024,255620,7.3
Crazy Heart,2009,99544,7.2
Nowhere Boy,2009,41065,7.1
Words Bubble Up Like Soda Pop,2020,7251,6.8
Sound of Noise,2010,10209,7.1
Behind the Candelabra,2013,47559,7.0
Blackpink: Light Up the Sky,2020,7924,7.3
The Concert,2009,19209,7.5
In the Heights,2021,56182,7.2
Gainsbourg: A Heroic Life,2010,10668,6.9
When You're Strange,2009,10734,7.6
Lurker,2025,6906,6.7
Pearl Jam Twenty,2011,8476,8.2
Better Man,2024,47057,7.5
No One Knows About Persian Cats,2009,7693,7.1
Pina,2011,16760,7.6
Quartet,2012,22307,6.8
Qala,2022,8666,7.2
Tár,2022,110612,7.4
This Is It,2009,44114,7.2
Hit the Road,2021,9175,7.2
The Greatest Showman,2017,351657,7.5
Satyaprem Ki Katha,2023,31881,6.6
Woodstock 99: Peace Love and Rage,2021,8608,7.1
Ayirathil Oruvan,2010,8601,8.1
A Star Is Born,2018,451652,7.6
Thulladha Manamum Thullum,1999,7306,8.3
The History of Sound,2025,8659,6.9
I Used to Be Famous,2022,12755,6.6
Frank,2014,84831,6.9
Vinnaithaandi Varuvaayaa,2010,7728,8.1
The Music Never Stopped,2011,9130,7.5
Monpura,2009,10022,8.8
Mixed by Erry,2023,6787,7.1
Fisherman's Friends,2019,13089,7.0
Les Misérables,2012,364070,7.5
Gimme Danger,2016,7063,7.2
Bohemian Rhapsody,2018,652238,7.9
Jersey Boys,2014,38583,6.8
Les Misérables in Concert: The 25th Anniversary,2010,6845,8.8
Ill Manors,2012,11649,7.1
Danny Collins,2015,35117,7.0
CBGB,2013,12073,6.6
Rudderless,2014,20235,7.4
Rockstar,2011,55987,7.8
Ko,2011,7048,7.9
Deiva Thirumagal,2011,7467,8.3
Conan O'Brien Can't Stop,2011,7078,7.0
BTS Permission to Dance on Stage - Seoul: Live Viewing,2022,17605,7.9
The Nightingale of Bursa,2023,8657,6.8
Begin Again,2013,177662,7.4
Pitch Perfect,2012,353186,7.1
The Broken Circle Breakdown,2012,45440,7.7
Inside Llewyn Davis,2013,172807,7.4
Rocketman,2019,211240,7.3
The Phantom of the Opera at the Royal Albert Hall,2011,10927,8.8
Sita Ramam,2022,85047,8.5
Searching for Sugar Man,2012,76682,8.2
Born to Be Blue,2015,9850,6.8
Metallica Through the Never,2013,18790,7.1
Yeh Jawaani Hai Deewani,2013,58708,7.3
Selena Gomez: My Mind & Me,2022,6840,7.3
Thuppakki,2012,41582,8.1
Aashiqui 2,2013,38824,7.1
Ustad Hotel,2012,19008,8.2
Sound City,2013,13812,7.8
Poove Unakkaga,1996,7678,8.5
PK,2014,225193,8.1
We Are the Best!,2013,11812,7.1
Gully Boy,2019,47781,7.9
Respect,2021,19719,6.6
Get on Up,2014,27397,6.9
Sunshine on Leith,2013,7751,6.6
The Beatles: Eight Days a Week - The Touring Years,2016,14487,7.8
Flora and Son,2023,17009,7.0
Whiplash,2014,1173768,8.5
Amar Singh Chamkila,2024,17862,7.8
Kneecap,2024,25699,7.6
Phoenix,2014,22270,7.3
The Ballad of Wallis Island,2025,25367,7.4
Wham!,2023,10211,7.5
I Am: Celine Dion,2024,8466,7.7
Amy,2015,58117,7.8
Taylor Swift: The Eras Tour,2023,26140,8.0
"20,000 Days on Earth",2014,12365,7.4
The Marching Band,2024,7165,7.4
The Greatest Night in Pop,2024,16799,7.9
Beyond the Lights,2014,18304,6.8
Springsteen: Deliver Me from Nowhere,2025,28637,6.6
Avicii - I'm Tim,2024,8580,7.7
Power Ballad,2026,6912,6.7
Jung Kook: I Am Still,2024,7716,8.2
Boychoir,2014,8040,6.7
Youth,2015,89137,7.3
Tuner,2025,22145,7.2
Sing Street,2016,108631,7.9
The Bélier Family,2014,31528,7.3
West Side Story,2021,144570,7.1
Bangalore Days,2014,28535,8.3
Elvis,2022,263840,7.3
La La Land,2016,773448,8.0
Popstar: Never Stop Never Stopping,2016,74636,6.7
Forever My Girl,2018,25753,6.6
Whisper If I Forget,2014,19245,7.5
Cobain: Montage of Heck,2015,33500,7.5
OK Kanmani,2015,8137,7.4
"What Happened, Miss Simone?",2015,15480,7.6
I'm No Longer Here,2019,10525,7.3
Purple Hearts,2022,73771,6.7
Premam,2015,28677,8.3
Wild Rose,2018,17126,7.1
Oasis: Supersonic,2016,13985,7.8
Sanam Teri Kasam,2016,23203,7.6
Sound of Metal,2019,188066,7.7
"Juliet, Naked",2018,26580,6.6
Secret Superstar,2017,32565,7.7
Patti Cake$,2017,10863,6.8
The Ballad of Buster Scruggs,2018,186154,7.2
Clouds,2020,13011,7.5
Cold War,2018,65876,7.5
Mamma Mia! Here We Go Again,2018,122369,6.6
Hearts Beat Loud,2018,12515,6.9
Heavy Trip,2018,12906,7.0
Gaga: Five Foot Two,2017,14257,7.0
Avicii: True Stories,2017,7400,7.6
"Summer of Soul (...Or, When the Revolution Could Not be Televised)",2021,15423,8.0
Judy,2019,58812,6.8
Müslüm,2018,21903,7.6
Yesterday,2019,186447,6.8
Blinded by the Light,2019,28719,6.9
Climax,2018,90768,6.9
Tina,2021,6744,7.9
Toma,2021,13401,8.6
Ema,2019,10036,6.7
Guava Island,2019,12243,6.7
Dinner in America,2020,17119,7.5
Fyre,2019,54838,7.2
Sylvie's Love,2020,6955,6.8
Moonage Daydream,2022,16585,7.6
