primaryTitle,startYear,numVotes,averageRating
Toy Story 3,2010,985720,8.3
Ice Age: The Meltdown,2006,320879,6.8
Kung Fu Panda,2008,587510,7.6
Puss in Boots,2011,213706,6.6
Horton Hears a Who!,2008,159624,6.8
Mind Game,2004,12245,7.7
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,14908,6.7
Enchanted,2007,226352,7.1
The Simpsons Movie,2007,364796,7.3
9,2009,158189,7.0
Madagascar: Escape 2 Africa,2008,274048,6.7
The Croods,2013,254088,7.1
Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,13017,7.3
The Secret of Kells,2009,41128,7.5
The Illusionist,2010,37788,7.4
The Princess and the Frog,2009,189397,7.2
The Boxtrolls,2014,65441,6.8
Persepolis,2007,106833,8.0
The Girl Who Leapt Through Time,2006,76472,7.6
One Piece: The Movie,2000,10052,6.8
Tekkonkinkreet,2006,15722,7.5
Hotel Transylvania,2012,318080,7.1
Cloudy with a Chance of Meatballs,2009,288920,6.9
Epic,2013,115041,6.6
Paprika,2006,114996,7.7
Evangelion: 2.0 You Can (Not) Advance,2009,29328,7.9
Evangelion: 3.0 You Can (Not) Redo,2012,22393,6.9
Mr. Peabody & Sherman,2014,85104,6.8
Ponyo,2008,188088,7.6
How to Train Your Dragon,2010,904867,8.1
WALL·E,2008,1335692,8.4
Evangelion: 1.0 You Are (Not) Alone,2007,32219,7.5
A Monster in Paris,2011,24445,6.7
Mary and Max,2009,202836,8.1
The Adventures of Tintin,2011,256852,7.3
5 Centimeters per Second,2007,71713,7.4
Megamind,2010,329282,7.3
Appleseed: Ex Machina,2007,10116,7.0
Up,2009,1250245,8.3
Ne Zha,2019,23810,7.3
A Christmas Carol,2009,141933,6.8
Entergalactic,2022,21257,7.4
Ice Age: Dawn of the Dinosaurs,2009,288456,6.9
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,102628,8.2
My Hero Academia: Heroes Rising,2019,13167,7.8
Sword of the Stranger,2007,20053,7.7
Frankenweenie,2012,127254,6.9
The Witcher: Nightmare of the Wolf,2021,55479,7.2
The House,2022,26252,6.8
Waltz with Bashir,2008,62869,8.0
Rango,2011,323056,7.3
A Whisker Away,2020,18531,6.7
Brave,2012,483818,7.1
Secret of the Wings,2012,16631,7.0
Legend of the Guardians: The Owls of Ga'Hoole,2010,92444,6.9
Chico & Rita,2009,10102,7.2
Attack on Titan: Chronicle,2020,13038,8.3
Ghost in the Shell 2.0,2008,16212,7.8
Madagascar 3: Europe's Most Wanted,2012,220308,6.8
Luca,2021,226613,7.4
"Josee, the Tiger and the Fish",2020,12812,7.7
Kung Fu Panda 2,2011,362054,7.3
Mufasa: The Lion King,2024,84130,6.6
Despicable Me,2010,638833,7.6
Robot Dreams,2023,25560,7.6
Belle,2021,20812,7.0
Beavis and Butt-Head Do the Universe,2022,14896,7.0
KPop Demon Hunters,2025,140924,7.4
Arthur Christmas,2011,74016,7.1
The Pirates! Band of Misfits,2012,54683,6.7
"Batman: The Long Halloween, Part One",2021,23145,7.3
Jujutsu Kaisen 0,2021,65863,7.8
Rio,2011,276509,6.9
"Batman: The Long Halloween, Part Two",2021,19690,7.2
Rise of the Guardians,2012,210922,7.2
Winnie the Pooh,2011,31236,7.1
Monsters University,2013,429370,7.2
Dragon Ball Super: Super Hero,2022,19186,7.1
Summer Wars,2009,34399,7.4
Redline,2009,21447,7.5
That Christmas,2024,20678,6.8
Guillermo del Toro's Pinocchio,2022,166487,7.6
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020,18857,8.7
The Lego Movie,2014,419786,7.7
Mad God,2021,21073,6.8
The First Slam Dunk,2022,13210,8.0
Marcel the Shell with Shoes On,2021,34275,7.6
The Secret World of Arrietty,2010,118568,7.6
Elemental,2023,168096,7.0
One Piece Film: Red,2022,26993,6.7
ParaNorman,2012,118377,7.0
Suzume,2022,65064,7.6
How to Train Your Dragon 2,2014,405804,7.8
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,36693,8.4
A Cat in Paris,2010,12587,6.9
Despicable Me 2,2013,464008,7.3
Wallace & Gromit: Vengeance Most Fowl,2024,42338,7.5
The Little Prince,2015,72102,7.6
Wreck-It Ralph,2012,503735,7.7
From Up on Poppy Hill,2011,60148,7.4
Ernest & Celestine,2012,24552,7.8
Avatar Aang: The Last Airbender,2026,19820,7.8
Children Who Chase Lost Voices,2011,18714,7.1
Song of the Sea,2014,68768,8.0
Penguins of Madagascar,2014,117550,6.7
Nimona,2023,63099,7.5
Toy Story 4,2019,326850,7.6
The Good Dinosaur,2015,141709,6.7
The Remarkable Life of Ibelin,2024,15313,8.1
The Wind Rises,2013,114652,7.8
To the Forest of Firefly Lights,2011,25724,7.8
Inside Out,2015,928154,8.1
Wolf Children,2012,55524,8.1
Inside Out 2,2024,258036,7.5
Berserk: The Golden Age Arc I - The Egg of the King,2012,16185,7.5
Big Hero 6,2014,559707,7.8
Leap!,2016,27082,6.8
The Book of Life,2014,85348,7.2
Dragon Ball Z: Battle of Gods,2013,32363,7.1
Kung Fu Panda 3,2016,222143,7.1
Finding Dory,2016,338431,7.2
Black Clover: Sword of the Wizard King,2023,10134,7.4
Frozen,2013,719249,7.4
My Life as a Zucchini,2016,33323,7.8
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,13505,7.7
Berserk: The Golden Age Arc III - The Advent,2013,13496,7.9
One Piece Film: Z,2012,11892,7.7
Memoir of a Snail,2024,26365,7.8
Coco,2017,721482,8.4
How to Train Your Dragon: The Hidden World,2019,182112,7.4
Anomalisa,2015,79049,7.2
The Peanuts Movie,2015,53913,7.0
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,18753,8.0
Hotel Transylvania 2,2015,164818,6.6
The Tale of The Princess Kaguya,2013,62796,8.0
The Garden of Words,2013,61205,7.4
Zootopia 2,2025,150193,7.3
Hoppers,2026,80194,7.2
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,2023,17910,7.7
Mars Express,2023,15467,7.5
GOAT,2026,29581,6.6
The Croods: A New Age,2020,62473,6.9
Shaun the Sheep Movie,2015,47209,7.3
Toy Story 5,2026,63836,7.5
Zootopia,2016,646343,8.0
Soul,2020,455451,8.0
Encanto,2021,300244,7.2
Swapped,2026,23179,7.3
The Wild Robot,2024,234024,8.2
Steins;Gate: The Movie - Load Region of Déjà Vu,2013,11708,7.8
Patema Inverted,2013,11412,7.3
The Bad Guys 2,2025,30821,7.0
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,2024,11128,7.3
The Jungle Book,2016,307313,7.3
Chainsaw Man - The Movie: Reze Arc,2025,65119,8.3
Look Back,2024,23503,7.8
Loving Vincent,2017,68731,7.8
Demon Slayer: Kimetsu No Yaiba Infinity Castle,2025,80147,8.4
Attack on Titan: The Last Attack,2024,34720,8.9
Stand by Me Doraemon,2014,11293,7.4
Solo Leveling: ReAwakening,2024,17605,8.7
When Marnie Was There,2014,56013,7.6
Ferdinand,2017,71932,6.7
Mahavatar Narsimha,2024,48404,8.5
Sing,2016,215642,7.1
Ne Zha 2,2025,25482,7.9
Chip 'n Dale: Rescue Rangers,2022,51297,6.9
Moana,2016,448175,7.6
Bilal: A New Breed of Hero,2015,19355,7.5
Cars 3,2017,155805,6.7
Incredibles 2,2018,375878,7.5
Predator: Killer of Killers,2025,62574,7.4
The Red Turtle,2016,42516,7.5
The Last: Naruto the Movie,2014,21082,7.6
Astérix: The Mansions of the Gods,2014,17132,6.9
Dragon Ball Z: Resurrection 'F',2015,25941,7.1
The Breadwinner,2017,31157,7.7
Puss in Boots: The Last Wish,2022,229648,7.9
The Lego Batman Movie,2017,196420,7.3
The Boy and the Beast,2015,30220,7.6
Kubo and the Two Strings,2016,147929,7.7
Frozen II,2019,222286,6.8
Boruto: Naruto the Movie,2015,13832,7.7
Storks,2016,73217,6.8
Spider-Man: Into the Spider-Verse,2018,807830,8.4
Klaus,2019,240949,8.2
In This Corner of the World,2016,14064,7.8
Flow,2024,152154,7.8
Elio,2025,47661,6.6
Isle of Dogs,2018,213619,7.8
Raya and the Last Dragon,2021,189375,7.3
Peter Rabbit,2018,53851,6.6
Wolfwalkers,2020,45841,8.0
Your Name.,2016,401077,8.4
A Silent Voice: The Movie,2016,147768,8.2
Sword Art Online the Movie: Ordinal Scale,2017,10238,7.3
Wish Dragon,2021,39645,7.2
Kingsglaive: Final Fantasy XV,2016,24437,6.7
Leo,2023,46945,7.0
Spies in Disguise,2019,63573,6.8
Ralph Breaks the Internet,2018,208213,7.0
Gantz: O,2016,18008,7.1
The Lion King,2019,294476,6.8
Smallfoot,2018,46058,6.6
A Shaun the Sheep Movie: Farmageddon,2019,17578,6.8
Abominable,2019,47227,7.0
Mary and the Witch's Flower,2017,19563,6.8
Vivo,2021,23861,6.7
Missing Link,2019,31121,6.7
Sing 2,2021,102896,7.3
Migration,2023,48172,6.6
Blame!,2017,10141,6.6
The Boy and the Heron,2023,150209,7.3
The Super Mario Bros. Movie,2023,300673,7.0
Mirai,2018,19993,7.0
The Summit of the Gods,2021,11578,7.5
Next Gen,2018,21297,6.6
