primaryTitle,startYear,numVotes,averageRating
Jurassic World,2015,735289,6.9
The Hitchhiker's Guide to the Galaxy,2005,218094,6.7
Iron Man,2008,1241252,7.9
X-Men: The Last Stand,2006,576464,6.6
Serenity,2005,316750,7.8
G.O.R.A.,2004,72188,8.0
Renaissance,2006,16786,6.6
Primer,2004,122731,6.7
The Island,2005,343711,6.8
John Carter,2012,300632,6.6
War of the Worlds,2005,511589,6.6
District B13,2004,78004,7.1
Transformers,2007,724023,7.1
Real Steel,2011,383350,7.1
V for Vendetta,2005,1253187,8.1
Alita: Battle Angel,2019,326169,7.3
Sunshine,2007,289581,7.2
Deja Vu,2006,347427,7.1
Captain America: The First Avenger,2011,980235,6.9
28 Weeks Later,2007,367012,6.8
The Host,2006,144116,7.1
Ex Machina,2014,643836,7.7
Ant-Man,2015,789696,7.2
I Am Legend,2007,885263,7.2
Timecrimes,2007,76324,7.1
The Prestige,2006,1614872,8.5
Man of Steel,2013,873648,7.1
Star Trek,2009,640292,7.9
The Incredible Hulk,2008,572805,6.6
Interstellar,2014,2586181,8.7
The Avengers,2012,1574197,8.0
The Mist,2007,378566,7.1
Frequently Asked Questions About Time Travel,2009,38921,6.9
The Amazing Spider-Man,2012,780602,7.0
28 Years Later,2025,224100,6.6
Cloverfield,2008,446639,7.0
The Fantastic Four: First Steps,2025,282206,6.8
Paul,2011,284435,6.9
Nope,2022,321288,6.8
Tron: Legacy,2010,389002,6.8
Don't Look Up,2021,677833,7.1
District 9,2009,756064,7.9
10 Cloverfield Lane,2016,387854,7.2
Moon,2009,397561,7.8
Triangle,2009,151161,6.9
Furiosa: A Mad Max Saga,2024,325437,7.4
The World's End,2013,314436,6.9
Limitless,2011,652624,7.4
Iron Man 2,2010,950729,6.9
Bugonia,2025,216606,7.4
Zack Snyder's Justice League,2021,477927,7.9
Venom,2018,613854,6.6
X-Men: First Class,2011,769424,7.7
Kalki 2898 AD,2024,77178,7.0
Looper,2012,631235,7.4
A.R.O.G,2008,49473,7.4
The Life of Chuck,2024,76793,7.3
Iron Man 3,2013,977607,7.1
Enthiran,2010,33896,7.2
Rise of the Planet of the Apes,2011,608696,7.6
Swan Song,2021,20083,6.8
Brian and Charles,2022,10422,6.7
Dredd,2012,314045,7.1
Passengers,2016,503096,7.0
Cloud Atlas,2012,387813,7.3
Inception,2010,2853597,8.8
The Hunger Games,2012,1090564,7.2
Mad Max: Fury Road,2015,1216511,8.1
Star Trek Into Darkness,2013,511826,7.7
Beavis and Butt-Head Do the Universe,2022,14896,7.0
The Wolverine,2013,527648,6.7
Deadpool,2016,1266199,8.0
Perfect Sense,2011,67549,7.0
Prometheus,2012,705181,7.0
Beyond the Infinite Two Minutes,2020,11216,7.2
Gravity,2013,904354,7.7
It's What's Inside,2024,53386,6.6
Oblivion,2013,589349,7.0
Redline,2009,21447,7.5
Melancholia,2011,209487,7.1
Elysium,2013,493985,6.6
Jules,2023,19638,6.8
Another Earth,2011,104826,6.9
Caddo Lake,2024,58792,6.8
Edge of Tomorrow,2014,812083,7.9
In Time,2011,487208,6.7
Super 8,2011,382520,7.0
Pacific Rim,2013,562573,6.9
Ready Player One,2018,548539,7.4
Chronicle,2012,279319,7.0
Snowpiercer,2013,423989,7.1
7 Aum Arivu,2011,14858,6.7
Ender's Game,2013,266068,6.6
The Substance,2024,456562,7.2
The Maze Runner,2014,569436,6.8
Her,2013,731638,8.0
Black Panther,2018,920803,7.3
Alien: Romulus,2024,292945,7.1
Captain America: The Winter Soldier,2014,983157,7.7
The Amazing Spider-Man 2,2014,602739,6.6
X-Men: Days of Future Past,2014,793458,7.9
The Hunger Games: Mockingjay - Part 1,2014,551515,6.6
The Hunger Games: Mockingjay - Part 2,2015,419300,6.6
The Artifice Girl,2022,13471,6.6
Spider-Man: Brand New Day,2026,205806,8.1
Spider-Man: Homecoming,2017,824471,7.4
These Final Hours,2013,20473,6.6
Lucia,2013,13929,8.3
Avengers: Age of Ultron,2015,1014327,7.3
Predestination,2014,338153,7.4
Frequencies,2013,15322,6.7
Star Wars: Episode VII - The Force Awakens,2015,1032726,7.7
Arrival,2016,874843,7.9
Midnight Special,2016,86991,6.6
Companion,2025,186500,6.9
Star Trek Beyond,2016,271287,7.0
Backrooms,2026,171146,6.8
Bird Box,2018,425692,6.6
Coherence,2013,177333,7.2
Steins;Gate: The Movie - Load Region of Déjà Vu,2013,11708,7.8
Hardcore Henry,2015,109559,6.7
Predator: Badlands,2025,164980,7.2
28 Years Later: The Bone Temple,2026,121174,7.2
The Assessment,2024,24823,6.6
Logan,2017,935577,8.1
X-Men: Apocalypse,2016,496407,6.8
Finch,2021,113129,6.9
The Lobster,2015,336820,7.1
Black Widow,2021,485133,6.6
Captain America: Civil War,2016,941773,7.8
Nirvanna the Band the Show the Movie,2025,11156,7.7
The Martian,2015,1024752,8.0
Rogue One: A Star Wars Story,2016,763072,7.8
Solo: A Star Wars Story,2018,413375,6.9
